"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"Run41",0,-1566.2,0.1209,-0.0579,0.0598
"Run34",8,-1558.2,0.1209,-0.0579,0.0598
"Run42",8.3,-1557.9,-0.0447,-0.2133,0.2581
"Run43",9.9,-1556.3,0.1929,0.0379,-0.0332
