"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",33928.9,29895.4,-0.0044,-0.1123,0.3749
"m2",12377,8343.5,0.0494,-0.0105,0.0146
"m3",298.6,-3734.9,0.0488,0.0035,0.0061
"m4",314.3,-3719.2,0.0474,-0.0028,0.0077
"m5",585.8,-3447.7,0.0165,-0.0487,0.0906
"m6",0,-4033.5,0.0535,0.0264,-0.0571
"m7",646.9,-3386.6,0.0828,0.1382,-0.0967
"m8",582.9,-3450.6,0.0413,-0.0237,0.0956
"m9",574.9,-3458.6,0.0413,-0.0237,0.0956
"m10",13895.2,9861.7,0.039,-0.0172,0.0406
