"Year","est","se","CV","lo","hi"
1989,1379.08280498241,1.21273584952653,0.194686702870077,944.955979017421,2012.65394920907
1990,811.378795125839,1.24466126637795,0.221510717067198,528.356159346112,1246.00714411015
1991,632.795928239592,1.24027292963386,0.217851843442303,414.928441688268,965.059626106436
1992,763.133907396571,1.22781037498219,0.207412598852952,510.39523926741,1141.02428042679
1993,726.478054714653,1.22556809719687,0.205526619818176,487.623115100454,1082.33253846726
1994,380.002016665598,1.23182388544219,0.210782417150745,252.530515646275,571.818151562275
1995,524.320605574785,1.26820948204403,0.240999439092237,329.113949319609,835.309770365694
1996,683.483513892968,1.30684165831569,0.272476947157003,404.515537912265,1154.83750308943
1997,1343.00208316718,1.29071637740136,0.259409302303616,814.427199478366,2214.62961520271
1998,745.801734212557,1.2453331364249,0.22207013576086,485.140078424383,1146.51469027446
1999,912.461637157785,1.25106101788155,0.226831150100238,588.236912602042,1415.3927124392
2000,1867.15656950276,1.2620298201212,0.235908240825135,1183.2811008135,2946.27679985806
2001,2629.456102714,1.23775421564967,0.215747848773636,1731.03484217574,3994.1653556838
2002,3031.52642187589,1.2263356121475,0.206172445864902,2032.31134913034,4522.01994072624
2003,1887.24490329591,1.22366972656662,0.203928024214443,1270.60206121183,2803.1540588085
2004,2314.55097676303,1.22402479031467,0.204227150575326,1557.40330954708,3439.79378443252
2005,1193.98572531619,1.22096178896225,0.201644702234743,807.35807818192,1765.76162521234
2006,2734.68609106563,1.21973158771409,0.200606229411357,1852.81738669025,4036.2898526265
2007,2888.17120995695,1.21326673483536,0.195136764446129,1977.29573306517,4218.65722892816
2008,3103.56672042516,1.21630481893449,0.197709636083611,2114.37001604026,4555.55381274719
2009,5362.64107327774,1.20995175938157,0.192324171570527,3691.10434467324,7791.1423236536
2010,7018.42455981827,1.21050348569473,0.192792664947024,4826.465178494,10205.8714774009
2011,5430.09545882276,1.20919044853646,0.191677460604129,3742.14669155322,7879.41765043131
2012,9536.33484405063,1.19926287554787,0.183217343204083,6679.01055591994,13616.0411031613
2013,8277.83620741747,1.21774723659498,0.198929589061806,5626.36484570321,12178.8355636342
2014,15825.3268013667,1.20566544568375,0.18867926533985,10968.5964057286,22832.5447583483
2015,13379.8922921501,1.1990102071424,0.183001362737165,9374.81294272196,19096.0095783586
2016,16368.7371653191,1.20858967474776,0.191166915389654,11291.4972847748,23728.9661087353
2017,13256.7723456745,1.21760975772871,0.198813357603221,9012.49347164116,19499.821395492
2018,12330.6536247767,1.17860869084489,0.165450435622797,8935.19790205937,17016.4131204276
2019,14221.062083749,1.17827890201376,0.165164872643819,10310.7040102472,19614.4323984909
2020,14195.4342743068,1.18191381420801,0.168309014067152,10230.1761646119,19697.642640136
2021,15351.5570728669,1.18836707506143,0.173873196305815,10945.9115363021,21530.4411861807
