"Year","est","se","CV","lo","hi"
1989,2989.70104308632,1.1923963868067,0.17733601264835,2117.61028984039,4220.942998773
1990,2790.52021722296,1.1865208239737,0.172283610573427,1995.75917080493,3901.77492186566
1991,2694.15407166826,1.17132533369367,0.159129665558064,1976.13645696021,3673.05918390473
1992,3381.65405599671,1.17490870825495,0.162243166288435,2465.60565674999,4638.04263391927
1993,3956.46711338419,1.17735148879471,0.164361505440569,2872.9898041835,5448.55119099157
1994,2888.03807085713,1.19228260034778,0.177238342456122,2045.98488416487,4076.64981460737
1995,3563.77180006247,1.18213100387356,0.168496649606788,2567.36675277462,4946.88553133079
1996,3497.59596033553,1.18577743409541,0.171643047296407,2504.5290224818,4884.42233727172
1997,4216.97903548213,1.17865793004786,0.165493066504734,3055.51175830295,5819.9455909057
1998,2612.78041645039,1.19117521426206,0.176287443203572,1854.35712883385,3681.39523851037
1999,2733.65150088084,1.21409899413602,0.195842036313168,1868.99503473576,3998.32551150923
2000,4578.30620822587,1.20538530469403,0.188440721009602,3174.68769318651,6602.50385613223
2001,9544.2478064639,1.18974578720603,0.175059045920502,6789.75713302221,13416.189181224
2002,11243.3818314355,1.19879773746083,0.18281971840621,7880.57312409383,16041.1727696505
2003,7460.73519331547,1.22223199162764,0.202716172641486,5034.58428975116,11056.0408608289
2004,7144.2919164107,1.19410129141133,0.178798620699268,5046.16302326548,10114.795489477
2005,5969.67532057857,1.17850189609017,0.165357969020728,4326.59177697133,8236.74274582736
2006,4675.66899304739,1.19210710272429,0.177087688162433,3313.35955584459,6598.10085928695
2007,3736.63491442901,1.19150632732348,0.176571834343867,2650.54118190326,5267.76968381375
2008,3643.87722929166,1.18627103846214,0.172068409031202,2607.14934573855,5092.85794611392
2009,4791.62132944066,1.19193350517096,0.176938648886973,3396.49720047725,6759.79799468835
2010,4788.77256065548,1.19497514089293,0.17954768632748,3377.56418251267,6789.60973011822
2011,5049.44349223041,1.21010682425215,0.192455858910555,3474.65770250648,7337.95434377195
2012,4105.33685277361,1.22098042070324,0.201660424549986,2775.89394209307,6071.48220584865
2013,3812.83570130774,1.25490614491931,0.230019084569159,2443.28203119476,5950.07694550023
2014,4078.16023508058,1.211085879511,0.193287033972218,2801.84688117707,5935.86716487718
2015,4184.1796880772,1.19956920318521,0.183479147061933,2929.02831698266,5977.19030594864
2016,4601.4663947239,1.20310669527161,0.186498963600608,3202.60240390714,6611.33987657723
2017,5287.09708083414,1.20045810513125,0.18423857467494,3695.728053566,7563.70467117912
2018,6237.95251125892,1.19438505305984,0.179041905880823,4403.94510939547,8835.72582448988
2019,6574.13925486497,1.19117782767454,0.176289688077184,4665.81481349529,9262.97092146693
2020,6992.46058728148,1.19755230471406,0.181754502290814,4911.06457683764,9955.98903245724
2021,7475.21641304425,1.22027457112181,0.201064678766526,5060.22775155038,11042.7560112736
