"Year","est","se","CV","lo","hi"
1989,1.03573681542671,1.19064988573859,0.175836121749265,0.735724734129376,1.45808710930413
1990,1.15630109877328,1.17598575048512,0.163177570193372,0.841560683142519,1.5887532031934
1991,1.39658927391737,1.16959301004561,0.157621890400117,1.02736085713696,1.89851655966003
1992,1.11420928941085,1.1743785771569,0.161783004654864,0.813102644068722,1.52682118262121
1993,1.19108626447261,1.17795890931493,0.164887734467874,0.86403373924429,1.641934134026
1994,0.981978741405385,1.18671379663238,0.172449842192947,0.702080030294413,1.37346485722965
1995,0.960967995276385,1.17460690848035,0.161981218943678,0.70100649440411,1.31733371276467
1996,1.69751146205149,1.16335507842562,0.152178302146526,1.2618827211964,2.28352850498197
1997,1.14606064125177,1.19045933890081,0.175672382363457,0.814347513928847,1.61289249486329
1998,0.796731911330903,1.19062568157684,0.175815323870442,0.565972668637975,1.1215766656376
1999,0.740995932889302,1.20182401405761,0.185404734569464,0.516809608894608,1.06243181842708
2000,0.732561993963272,1.20104548175114,0.184740171915351,0.511576656577009,1.04900618138088
2001,0.512304412656631,1.21198436106961,0.194049383824105,0.351460848043945,0.746756893941824
2002,0.375906434745911,1.21888612299116,0.19989210472919,0.255032257988922,0.554069703956899
2003,0.527202178375863,1.23682444063877,0.214970430087325,0.347581558031966,0.799645811066575
2004,0.444485218395673,1.20790446847652,0.190584396387004,0.30695619661269,0.643632907732222
2005,0.441838830819446,1.20022498317125,0.184039447995033,0.308966872739453,0.631852698928414
2006,0.40035327492049,1.20827192374676,0.190896813043474,0.27631442885419,0.580073742092356
2007,0.508003181824128,1.20474167305969,0.187892507495763,0.352628359535315,0.731839132517625
2008,0.636496283530737,1.19833749705394,0.182426169764241,0.446461043731829,0.907419638591769
2009,0.503337634395838,1.21031402480734,0.192631803158438,0.346243939384576,0.731706018160226
2010,0.547210351022837,1.21403752052265,0.19578995418276,0.374164348096195,0.800287814138701
2011,0.246776062385393,1.21194146070155,0.194012992579964,0.169309768767187,0.359686422170824
2012,0.446278921260245,1.22783877434061,0.207436470213439,0.298464409450704,0.667298576496114
2013,0.391110650988522,1.24940247094536,0.225454066163097,0.252793847155283,0.605107849886481
2014,0.330467097559133,1.21379544010799,0.195584838818727,0.226050813067225,0.483114840806523
2015,0.243262713447918,1.22439728755534,0.20454089888254,0.163587791764415,0.361743056225522
2016,0.248492415982246,1.28952472795999,0.258439649466071,0.150964541913216,0.409026384726756
2017,0.389129486797838,1.30437901335095,0.270487622394479,0.231156890842538,0.655060538942342
2018,0.260971564095685,1.20990409423847,0.192283689985697,0.179640524293297,0.37912468544877
2019,0.260654901582225,1.19958382914965,0.183491645970531,0.182460458258469,0.372360008120753
2020,0.299215653903206,1.2040587854897,0.187310626743109,0.207930281217924,0.430577052155716
2021,0.466634485716273,1.23167051235545,0.210653781512224,0.310177852077872,0.70200932078485
