"Year","est","se","CV","lo","hi"
1989,0.829779339433145,1.21199174320602,0.194055645802067,0.569254258996145,1.20953640885236
1990,0.80777700584144,1.24230239254199,0.219545038149825,0.527970101674628,1.23587242742825
1991,0.753632224812251,1.24102547026606,0.218479911774718,0.493574456481903,1.15071094708542
1992,0.548495129901367,1.23730206091097,0.215369835482342,0.361346342504248,0.832572167302292
1993,0.560898179732895,1.2262664696302,0.206114277355862,0.376063261753584,0.836579373801798
1994,0.757012590893282,1.22520267446785,0.205219035741507,0.508415432721584,1.12716496370554
1995,0.595941825683662,1.27566922127219,0.247124000736852,0.369795007840455,0.960387923225835
1996,1.17764301106374,1.2902595040698,0.259037607077407,0.714645386221476,1.94060311344048
1997,0.595600327959396,1.29099793483456,0.259638326470252,0.36103129576392,0.982573407977648
1998,0.682534240069716,1.24230057518422,0.219543522752907,0.446111615888406,1.04425209359282
1999,1.02836081086426,1.23487425691428,0.213338514161027,0.680092919118139,1.5549727509186
2000,0.575878322216595,1.2627926540404,0.236537586312025,0.364521852269544,0.909783158222771
2001,0.771358407698672,1.23432199976866,0.212876064621253,0.51057519273586,1.16534019198861
2002,0.800897943137213,1.22855613879177,0.208039331188694,0.535015279868004,1.19891438517358
2003,0.843685235600453,1.22397792692687,0.204187673598525,0.567737239773015,1.25375741963796
2004,0.778621031584993,1.22627247729536,0.206119331600173,0.522034058573133,1.16132405706159
2005,1.28197452591639,1.19738413084146,0.181610601584585,0.900626158555418,1.82479563744254
2006,0.651776532069017,1.22302512585742,0.203384820199665,0.439266946126745,0.967094500284435
2007,0.729250450707757,1.21836747750138,0.199453856540214,0.495170008217897,1.07398713781439
2008,0.629440880318751,1.22636749125197,0.206199264485217,0.421950691771247,0.938962370587212
2009,0.530515646403183,1.22913477845336,0.208525432721412,0.354067765170616,0.794895437439681
2010,0.635539738622991,1.22856319531889,0.20804526016449,0.424548029171034,0.951390023309378
2011,0.435877919744058,1.22410126372132,0.204291568300156,0.293255410559785,0.647863787262246
2012,0.479683822362715,1.21935235012682,0.200285948144987,0.325195781589272,0.70756320488536
2013,0.540587330025302,1.23487337554029,0.21333777622816,0.357510832516567,0.817414843983342
2014,0.500515409943701,1.22629365657792,0.206137149577902,0.335564075006697,0.746550939894599
2015,0.623404509747765,1.23846596009994,0.216342695506271,0.409940191221179,0.948024104726458
2016,0.599306175236189,1.27759196146089,0.24869889373689,0.37078651418077,0.968664926958817
2017,0.861999832704196,1.24218740953717,0.219449157055456,0.563512835315795,1.31859234610984
2018,0.667200114099727,1.20667048557027,0.189534744017596,0.46168441819344,0.964199731922019
2019,0.741813787787639,1.19191312308894,0.176921149141984,0.525845580604558,1.04648154524601
2020,0.696951111914817,1.1960888034774,0.180501738415693,0.49066920614617,0.989955852771812
2021,0.64287244205517,1.20338051322283,0.186732442733398,0.447237153810458,0.924084623186586
