"","1","2","3","4","5","6","7","8+"
"1989",0.0123013920298,0.312424808419568,0.46057590693026,0.507477753811949,0.513438366329842,0.516814176652135,0.527011065072142,0.527011065072142
"1990",0.0108664731285469,0.185049843253564,0.247258259178498,0.268607123075553,0.271326604040896,0.272910911032949,0.277728583760121,0.277728583760121
"1991",0.00955438049743931,0.158812946112512,0.229255321588749,0.257909651712558,0.261871350015785,0.264072169153007,0.269506896523917,0.269506896523917
"1992",0.00534777782418896,0.0713576249544333,0.0992334091145422,0.112627759547568,0.114548752823003,0.115591978890078,0.117973575644359,0.117973575644359
"1993",0.014990653630357,0.168440109349093,0.229531022136552,0.260224925858439,0.264703689746438,0.267149442563941,0.272465370134834,0.272465370134834
"1994",0.0291020667726376,0.221934519277862,0.284082804829361,0.315590207602782,0.320225517877529,0.322814930083159,0.328486474512741,0.328486474512741
"1995",0.00947772292809978,0.072906899455944,0.101978742405836,0.115515508756397,0.117582979328943,0.118730176800911,0.120972116990534,0.120972116990534
"1996",0.00871972946938236,0.0660833261915694,0.103769615618307,0.121569566863118,0.124421975172646,0.125985935624742,0.128654458337752,0.128654458337752
"1997",0.00756113926133079,0.0687307159025777,0.127905802542715,0.158169802452336,0.163342268699218,0.166105999843892,0.170213063003976,0.170213063003976
"1998",0.00604316852798979,0.0481829247888486,0.102248421671085,0.132213662884295,0.137593117498172,0.140426220245835,0.144246529295908,0.144246529295908
"1999",0.0158311323747994,0.101187583936119,0.171591579694477,0.211437139448318,0.218520300855112,0.222413033109745,0.227778313734744,0.227778313734744
"2000",0.0190328957697204,0.11851250506924,0.198696115066144,0.252126517051996,0.262071610372965,0.267507978045917,0.274440428779615,0.274440428779615
"2001",0.0166994690310442,0.104495880527524,0.221352252715361,0.330099258927786,0.354129467788237,0.366586505929562,0.379888732152418,0.379888732152418
"2002",0.0175640743440786,0.0992526125985915,0.216714122024431,0.360833138437496,0.399338521609954,0.419432235841373,0.438459684758024,0.438459684758024
"2003",0.0165251660727517,0.0927295187216926,0.222267001512786,0.40497789463143,0.466148429169239,0.4993126509902,0.527524131369555,0.527524131369555
"2004",0.0106662078288461,0.0599619755988076,0.124467656180234,0.213224425144057,0.245113490082719,0.261745083123889,0.275922945288537,0.275922945288537
"2005",0.0267215093399427,0.14732676410442,0.303192890802491,0.520137423581118,0.613744161988773,0.663319330683307,0.704468310315082,0.704468310315082
"2006",0.0130695667368593,0.0684304223844592,0.144025988714581,0.259614085632292,0.309476454026414,0.333827352976722,0.353848450568286,0.353848450568286
"2007",0.0176604649925056,0.0920418082059713,0.198689309226523,0.316568909501523,0.358911869753699,0.377525558600011,0.393591387714838,0.393591387714838
"2008",0.0168465202978085,0.0878184013074607,0.195775839648235,0.340984003459086,0.394524593604871,0.415907990665799,0.43356466178256,0.43356466178256
"2009",0.0191066367513212,0.101894677656681,0.230800667820627,0.36999482205291,0.419516772672206,0.437765150045011,0.45329890759,0.45329890759
"2010",0.0206771497783876,0.119489813109313,0.267502711457757,0.445675794524426,0.518011158001722,0.543152684140151,0.563609343443205,0.563609343443205
"2011",0.0117367020057878,0.065499606524862,0.13511207829839,0.239619096362135,0.291796469627168,0.309461788107241,0.322831606466378,0.322831606466378
"2012",0.017259172400307,0.0923375343427878,0.163613679955975,0.299798601808426,0.372296081510421,0.396042534575885,0.413523898391693,0.413523898391693
"2013",0.0145407389254639,0.0788381584942977,0.136697893860683,0.278327988641427,0.370809663511392,0.403157592322059,0.426213404338745,0.426213404338745
"2014",0.0123135240106028,0.0702616638114581,0.118030272017488,0.253904943324846,0.350519260573617,0.385769178134577,0.410952978167781,0.410952978167781
"2015",0.0169525607113359,0.100028504340664,0.149921193671095,0.306764375711473,0.440362775709698,0.492537157226495,0.530129500788273,0.530129500788273
"2016",0.0200254920825531,0.112433195658343,0.140901930615224,0.262788478553312,0.398205060801319,0.458456036394284,0.501893452535609,0.501893452535609
"2017",0.0176832159582457,0.106918152563878,0.124493356536567,0.227502998569857,0.416560977997545,0.539473151840716,0.634598709005081,0.634598709005081
"2018",0.0116947091947604,0.074621316386291,0.0856046876910701,0.144096543436357,0.265873347099514,0.379171330255042,0.47609396993018,0.47609396993018
"2019",0.0143362607593687,0.0919816010322848,0.0997164933315951,0.143494966003855,0.253825392298294,0.419034916834474,0.600216558427492,0.600216558427492
"2020",0.0135585221474698,0.0887642351542072,0.0969350753883068,0.12483452667448,0.194990182826534,0.349390705336988,0.569259878238355,0.569259878238355
"2021",0.0139583477023787,0.0896202008795628,0.0975058513034306,0.126489852008298,0.188775863789451,0.324164610803456,0.509526506284673,0.509526506284673
