"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"Run39",0,-1566.3,0.1026,-0.085,0.0869
"Run35",0.3,-1566,0.3388,0.0149,-0.0242
"Run34",8.1,-1558.2,0.1209,-0.0579,0.0598
"Run40",20.8,-1545.5,0.1289,-0.0414,0.0451
