"Year","est","se","CV","lo","hi"
1989,4181.70746614081,1.14158899413084,0.133003785831943,3225.79351172302,5420.8917182171
1990,5554.24313602081,1.28945844566359,0.258385698839331,3374.66335302169,9141.53904756496
1991,3606.82060016268,1.31263434754399,0.277147446944673,2116.25023151576,6147.26682507679
1992,3003.08473285787,1.31882819111702,0.282127874966229,1745.83421117454,5165.73558646022
1993,1404.0499482116,1.33353556587414,0.293899554853456,798.68961604543,2468.23824608341
1994,12992.9443189004,1.33972994514064,0.298835208024301,7324.16826379175,23049.2522828318
1995,27651.8742906033,1.3610679687378,0.31574047693454,15112.1049577887,50596.9323214133
1996,27095.2666538012,1.37094726573669,0.323518595810457,14599.4903311519,50286.2400253849
1997,4343.81993335929,1.37644665446426,0.327835456775502,2322.24703838814,8125.22152102573
1998,1837.09908019965,1.36942637571547,0.322323128076486,992.022832778003,3402.0719271344
1999,40271.8591398551,1.3523928795074,0.30888528915889,22286.6485717359,72771.0419698157
2000,36411.5226725768,1.35196850743841,0.308549328207074,20162.7177201144,65754.9741924401
2001,11360.8885075028,1.36031251660114,0.315144452743327,6215.63166317116,20765.3533340261
2002,21719.5203275969,1.35916512353006,0.314238858812441,11902.5900158343,39633.1859396427
2003,6161.43386003236,1.56777372128494,0.473372852549052,2552.30985936743,14874.0824207615
2004,2830.04424146049,1.37834775626891,0.329325660926971,1508.88099616528,5308.00668109572
2005,3990.08796218921,1.36554017624342,0.319265241017622,2166.65896272333,7348.08856396852
2006,20525.3698501304,1.36508842159916,0.318909472950722,11152.7180891539,37774.7203970258
2007,16843.1191007936,1.36684548892406,0.32029285375499,9128.87661035066,31076.1852911735
2008,19726.8861979127,1.37219423219561,0.324498227178553,10610.3310116942,36676.5220271163
2009,19598.2276396302,1.3668133158818,0.320267531699838,10622.6201298832,36157.7955267602
2010,7412.23179301204,1.36963857703183,0.322489967289198,4001.34678043243,13730.6719882452
2011,17491.2699141298,1.37686567481006,0.328164003866164,9345.42078270525,32737.3727007698
2012,66619.2393377293,1.36107780662947,0.315748237493213,36407.7553722245,121900.485337899
2013,26493.3470444923,1.36826138715106,0.321406933355946,14330.1373552732,48980.5101108557
2014,11796.5747257703,1.36923380528645,0.322171711390325,6371.83787317975,21839.72317413
2015,10891.1153280017,1.37090595869823,0.323486136457081,5868.70486596709,20211.6814181092
2016,43845.9334696309,1.36633799672938,0.319893390794632,23781.5543688966,80838.529391403
2017,17145.0625062747,1.37529464700866,0.326931916258698,9180.96606295076,32017.6729037585
2018,4778.08548074258,1.37429514485922,0.326147666687188,2562.25331779903,8910.16540116885
2019,18714.7253513873,1.3787971473122,0.329677765329016,9971.6664913005,35123.6120144426
2020,23955.0253812707,1.38764371484828,0.336597114786233,12604.8282536401,45525.6691697966
2021,20647.9529357984,1.41380633457568,0.35693076081343,10474.1350326306,40703.8823836769
