"Year","est","se","CV","lo","hi"
1989,2987.14272826736,1.1901994282392,0.17544900650988,2123.4596475804,4202.11501980177
1990,2786.06452745387,1.18486217864311,0.170853980107883,1998.04315350569,3884.87883132935
1991,2692.54811517735,1.1697930929797,0.157796125216071,1980.03187806808,3661.46395563024
1992,3369.75225191138,1.17102550319283,0.158868821870271,2472.92183289686,4591.82740360214
1993,3929.93381984418,1.16931961265307,0.157383775515356,2892.26808168302,5339.88530529573
1994,2877.40187740368,1.18949550664818,0.174843851733918,2047.82168449882,4043.04809679389
1995,3561.3115514569,1.18126883864008,0.167751651234619,2569.26575728788,4936.40641516529
1996,3492.64472174493,1.18468646226026,0.170702438125368,2505.49965441058,4868.71635797629
1997,4233.27848755174,1.17545299198665,0.162715448784286,3083.73498010268,5811.3446417408
1998,2628.04867299028,1.18618467138519,0.171993992033939,1880.60485197603,3672.56301628111
1999,2743.41470889744,1.21118571107897,0.193371759658909,1884.52286869053,3993.75586788423
2000,4575.65407273899,1.2041793465432,0.187413372757631,3179.07949909297,6585.7460309962
2001,9453.21188970273,1.17506248527419,0.162376617539171,6890.68554797526,12968.6972957103
2002,11135.3372758589,1.18300971240551,0.169255524202998,8010.30249224047,15479.5323107019
2003,7394.07188037308,1.20876818956136,0.19131863852409,5099.10916691961,10721.9314555589
2004,7122.52316850301,1.19043312958987,0.175649858845411,5061.21501634515,10023.3513340233
2005,5966.4109726009,1.17659919629026,0.163709484481555,4337.94214494663,8206.20900521722
2006,4697.10496197001,1.18813113429218,0.173670158190755,3350.41638179484,6585.09048118495
2007,3761.9080173479,1.18419573696568,0.170279136115015,2700.85189607651,5239.81042853357
2008,3654.79170868652,1.18346568925178,0.169649150919238,2627.12144534341,5084.46324685903
2009,4789.17031042804,1.18993490973919,0.17522163349824,3405.9441176098,6734.15401729533
2010,4778.39297280322,1.19211262395387,0.177092428059286,3386.12299586133,6743.12168531467
2011,5034.42580095451,1.20686068181069,0.189696579262651,3482.6104076341,7277.71417950101
2012,4104.84224435094,1.21938739768701,0.200315550143804,2782.67084043537,6055.23643190647
2013,3791.00521863079,1.24741430426589,0.223801692513478,2457.9714222019,5846.98440261419
2014,4069.34412712576,1.20832257345038,0.190939870932444,2808.33501874788,5896.57626829584
2015,4190.20084835483,1.19753387661849,0.181738734711308,2943.02232530076,5965.90212673947
2016,4610.44749961431,1.20080132409337,0.184531692219159,3220.93880164707,6599.38839441166
2017,5278.82775701895,1.19823496686446,0.182338481845868,3703.37782594581,7524.48812893051
2018,6199.43531452304,1.18659644547221,0.172348755276193,4433.23593186159,8669.28780910079
2019,6559.65882672492,1.18860711034153,0.174079727266137,4675.29306865193,9203.51372442136
2020,6956.844701863,1.19176737430323,0.176796005026657,4932.64349735274,9811.71419175406
2021,7442.05551271731,1.21474034407864,0.196385294032902,5082.86265907161,10896.259444571
