"Year","est","se","CV","lo","hi"
1989,1331.0895942369,1.2113522553901,0.193513092454671,914.113664495023,1938.27045443472
1990,782.640709059331,1.24881320854908,0.224964510962314,506.326714073763,1209.74553080298
1991,609.269518593104,1.24016196611882,0.217759211756977,399.572083339806,929.017220582419
1992,730.790873892311,1.23230055013904,0.211182130585616,485.279296543414,1100.51120080395
1993,696.363918862259,1.23472643062829,0.213214741144635,460.639205904296,1052.71696650578
1994,370.514596208164,1.24045476012461,0.218003622315951,242.879057531575,565.223973604443
1995,521.837093916934,1.25142336395633,0.227131842665791,336.221984718696,809.923101297215
1996,703.362927468055,1.26426863409011,0.23775458224282,444.199422364392,1113.73266787051
1997,1273.11775283718,1.2586924747884,0.233151973687471,811.016494044278,1998.51522686874
1998,707.116720210043,1.24743766277041,0.22382111608124,458.455950943,1090.6479782237
1999,882.589827532825,1.24122216872593,0.218644033250093,577.852812318696,1348.03324836085
2000,1848.13737739195,1.22529149579165,0.205293804409155,1241.04682158942,2752.20217826979
2001,2581.57199911938,1.22029764084894,0.201084153723912,1747.48897123358,3813.76597869607
2002,2917.58828365393,1.22607429654188,0.205952593198784,1956.74525723094,4350.24506202753
2003,1813.13860743671,1.23432363928678,0.212877437731942,1200.14402469883,2739.23091072548
2004,2248.24001963624,1.23611007930393,0.21437285584914,1483.93193153881,3406.20959659008
2005,1126.9092331588,1.21597160923377,0.197427672148555,768.142974969906,1653.23964569007
2006,2598.21969422798,1.22879847647018,0.208242932624528,1734.99006062848,3890.94193256
2007,2793.48281008557,1.22149146924329,0.202091605127942,1887.31274914913,4134.73930791899
2008,3007.73717730392,1.22533233406885,0.205328180288839,2019.60031879303,4479.34318664725
2009,5129.44762771334,1.21996700459594,0.200805013152903,3474.01319418642,7573.72856541951
2010,6749.71982237493,1.21669391292226,0.198038820520286,4595.50662479768,9913.75302011818
2011,5264.83372408167,1.21950900913472,0.200418261411891,3568.33104309595,7767.90992972969
2012,9087.25674375626,1.20832783520857,0.190944343938736,6271.24242433608,13167.7631862056
2013,8078.71306096986,1.20586332178281,0.188847735810172,5597.58714262504,11659.5960113768
2014,15468.6451492684,1.19917171390693,0.183139422229461,10835.4666858531,22082.9420357493
2015,12891.0600668301,1.20236640919683,0.185867543860958,8982.95695215075,18499.4128917465
2016,15947.6851558316,1.20195939107129,0.185520261830431,11120.3007291781,22870.6640245985
2017,12845.9499209716,1.21212373592981,0.194167605489534,8810.83767981825,18729.0284271263
2018,11789.0608508368,1.18795717441641,0.173520438388913,8411.47900613586,16522.8915917583
2019,13683.691434713,1.18756057215565,0.173179038992459,9769.6870288995,19165.7532863188
2020,13651.9604948058,1.19075038577122,0.175922474942269,9695.92217767878,19222.1040903979
2021,14841.1088921469,1.19369578480484,0.178450882859683,10489.5666506058,20997.8658304098
