"Year","est","se","CV","lo","hi"
1989,16853.4281986648,1.13856348675972,0.13031559657592,13068.6302548181,21734.3391395463
1990,29165.8892648959,1.26437665214763,0.237843610551318,18416.2420841402,46190.1560983896
1991,11806.9503123613,1.27671240115397,0.247978643493035,7314.74390844041,19057.9571101201
1992,14326.4748406208,1.28050366679292,0.251080980545899,8824.22938452604,23259.5813656951
1993,11520.0050351165,1.28649678115447,0.255973284986992,7030.97493336803,18875.1229049737
1994,25538.5511215969,1.26150945558042,0.235478792673958,16197.7424269629,40265.9565881681
1995,42414.2522438919,1.25249955343102,0.228024576723676,27281.690654012,65940.5172583736
1996,32904.0792289462,1.25920814197023,0.233578168172071,20944.1240702315,51693.6600582694
1997,7054.12593512842,1.29504632307859,0.262927961657522,4249.79575649107,11708.9609853951
1998,14516.77583711,1.28627796392893,0.255794911087353,8862.94067965445,23777.2978881222
1999,34643.3287946005,1.24783160923878,0.224148662293401,22446.950698193,53466.5151675773
2000,58566.9588496743,1.25311943824725,0.228538560315943,37634.91745302,91141.1237498063
2001,9216.60129245645,1.32805290225432,0.289520080238956,5285.34209779437,16071.9472481372
2002,16897.6726702352,1.30268886281497,0.269121008493375,10063.3657351453,28373.3443844958
2003,17012.2298486446,1.45452480480278,0.388221860432151,8162.69714908144,35455.9233470621
2004,12774.529470583,1.29735865849355,0.264804082969575,7669.22143448504,21278.3793751226
2005,7659.52167725009,1.29961611053682,0.266633704554767,4582.77124477978,12801.9203208305
2006,12503.065349555,1.28749834363662,0.256789490487694,7619.3331436975,20517.1030308016
2007,18209.8672201374,1.26598864356957,0.23917162552748,11469.5938862314,28911.1600170168
2008,22519.5472716337,1.26493684700304,0.238305243078737,14207.1968520578,35695.2898309345
2009,15979.8494456727,1.28043890150668,0.251028032823219,9843.58246563607,25941.3266661618
2010,16178.3238872066,1.29029075155753,0.259063031471379,9817.2499125038,26661.0472517355
2011,16683.4157934708,1.28312098398277,0.253219313400417,10234.9178792905,27194.7821976199
2012,23200.2633048152,1.2789405736123,0.2498026290803,14324.1891124827,37576.4528927993
2013,30217.0613852483,1.26862639053504,0.241342336344889,18954.9138554255,48170.6646479175
2014,15403.6427935203,1.28783237664886,0.25706161683758,9382.16552262546,25289.7063836893
2015,15420.2064794485,1.28316448537649,0.253254830620074,9459.33748287045,25137.3595983247
2016,23704.6331097357,1.26927145416569,0.241872742729432,14854.9133253752,37826.5169617195
2017,18948.5151560847,1.28210128916652,0.252386555080896,11642.6352045283,30838.9140699629
2018,12077.1803141012,1.2977945660544,0.265157528878763,7245.79366758345,20130.0631829832
2019,24672.4363233074,1.2810187582392,0.251502024439667,15184.7327051257,40088.2337508766
2020,24581.1807141629,1.2798479164477,0.250544805322089,15155.7070513122,39868.4431717104
2021,13557.9462287414,1.3265956422217,0.288354293783385,7791.67335493349,23591.5826508633
