"Year","est","se","CV","lo","hi"
1989,1.03614553315189,1.18868314773369,0.174145144848587,0.738403753333444,1.45394380922901
1990,1.15726639995387,1.17477508407943,0.162127193382092,0.843965315246256,1.58687270231173
1991,1.39632090325317,1.16856245266478,0.156724105975083,1.02893963722553,1.89487506781157
1992,1.11682045401355,1.17238088273492,0.160047556993133,0.817732276057669,1.52530108327909
1993,1.19710822638279,1.1739216802757,0.161386284856699,0.874265300338038,1.63916845964176
1994,0.984625434503629,1.18497354979779,0.170950020556872,0.706000060387009,1.37321127952881
1995,0.960659101714005,1.17366413712082,0.161162610556349,0.701884886821714,1.31483940890207
1996,1.69814481252327,1.16264528309802,0.15155746781009,1.26386445895249,2.28164957395017
1997,1.14071033127271,1.18660901975199,0.172359587183668,0.815708647782682,1.59520199204626
1998,0.792120376473288,1.18488042142278,0.170869712153698,0.568056812801001,1.10456327023049
1999,0.738137121423288,1.19822794135793,0.182332473151439,0.517848315528781,1.05213514012633
2000,0.732247590209091,1.19981741857072,0.18369124943089,0.512383436098347,1.04645563379239
2001,0.516604708176499,1.20253657082311,0.186012706446923,0.359889015092919,0.741563130070031
2002,0.379235940846355,1.20777706178567,0.190476057161098,0.261949973564815,0.549035744773742
2003,0.531588366414341,1.22637004124255,0.206201409669765,0.356353029875195,0.792995057193812
2004,0.44564882353382,1.20512740278248,0.188221078285883,0.30915130047923,0.642413192534574
2005,0.441729831102828,1.19863272967685,0.182678633964604,0.309695392254542,0.630055365905341
2006,0.39839678551063,1.20382915043003,0.187114903795351,0.276956530802084,0.573086318800788
2007,0.504503830965078,1.19675278793236,0.181070250985792,0.354795873390828,0.717381837127703
2008,0.634300206870473,1.19518380667152,0.179726495640784,0.44722454328769,0.899630305345542
2009,0.50329814964484,1.20887175258087,0.19140665134822,0.347026828003279,0.729940762486312
2010,0.548191706315993,1.21215306213253,0.194192479564532,0.375978354436111,0.799285765597726
2011,0.247440844302863,1.20940003654985,0.191855528445241,0.170465778803204,0.359174561951215
2012,0.44629280074655,1.22648697381905,0.2062997760996,0.299118801436986,0.6658801220162
2013,0.393614172613591,1.24281526035985,0.219972631243228,0.257061617596707,0.602704201159072
2014,0.331139563968398,1.21174773749402,0.193848650894126,0.227261636876167,0.482498552472057
2015,0.243047431319981,1.22232433989129,0.20279404195476,0.16398673317775,0.360224590895477
2016,0.248182040789741,1.28768839574294,0.256944325437573,0.151197696115608,0.407376084113509
2017,0.390053414823855,1.30314225066572,0.269487711763329,0.232136935745926,0.655396203653991
2018,0.262568116309506,1.20480020631364,0.187942371945084,0.182243244066412,0.378296688338135
2019,0.261274232345013,1.19778615653321,0.181954576880948,0.183432377914282,0.372149264288422
2020,0.300778930897838,1.19983939943545,0.183710030747099,0.210459700477868,0.429858852153787
2021,0.468721568760233,1.22768134110539,0.207304133338209,0.313552496275206,0.700679827559793
