Run,NLL,nparam,AIC
Run20,8170.367435799562,178,16696.734871599125
Run21,5409.4141783688365,180,11178.828356737673
Run22,8260.868922291875,184,16889.73784458375
Run23,8124.156751288242,183,16614.313502576486
